"Reps","Rate","SampSize","Shape","ShapeSE","ShapeBias","TotSim"
10000,1,10,0.6,0.307862911944851,0.191897681695186,10000
10000,1,20,0.6,0.182974778861758,0.0783526590680728,10000
10000,1,30,0.6,0.142368976423347,0.0499540699388653,10000
10000,1,40,0.6,0.120131269054568,0.0350847543878379,10000
10000,1,50,0.6,0.10633521000158,0.0293295919865917,10000
10000,1,60,0.6,0.095928548387505,0.0227209621501956,10000
10000,1,70,0.6,0.0883928301070514,0.0201196415215312,10000
10000,1,80,0.6,0.0823548646911935,0.0179429768119629,10000
10000,1,90,0.6,0.0771221022168378,0.0141936781807823,10000
10000,1,100,0.6,0.0731304193455244,0.0139843234084643,10000
10000,1,10,0.8,0.430492442705361,0.278804346343656,10000
10000,1,20,0.8,0.252506501614724,0.111375899441997,10000
10000,1,30,0.8,0.195126019741653,0.0675036411515864,10000
10000,1,40,0.8,0.165141992901167,0.0497823194875555,10000
10000,1,50,0.8,0.146206457200563,0.0421263915148846,10000
10000,1,60,0.8,0.132122613356304,0.0345054917556088,10000
10000,1,70,0.8,0.121586898757208,0.0300707866342335,10000
10000,1,80,0.8,0.112668320939159,0.0230462649172434,10000
10000,1,90,0.8,0.106350469602211,0.0240056372914611,10000
10000,1,100,0.8,0.100314014174071,0.0197268596213703,10000
10000,1,10,1,0.544964120656452,0.343275517731192,10000
10000,1,20,1,0.3235396437665,0.14530367446462,10000
10000,1,30,1,0.250050922970618,0.0897103642996154,10000
10000,1,40,1,0.210677685433971,0.0628911465004429,10000
10000,1,50,1,0.18653939333772,0.0533022113667208,10000
10000,1,60,1,0.168495811771624,0.043292268702984,10000
10000,1,70,1,0.154988808489515,0.0372164978853294,10000
10000,1,80,1,0.143952894818014,0.0305645785068181,10000
10000,1,90,1,0.13506951673526,0.0260968635695152,10000
10000,1,100,1,0.127990656639478,0.0250798642482018,10000
10000,1,10,1.2,0.676215168953961,0.443405023040976,10000
10000,1,20,1.2,0.396027401382924,0.18136768657044,10000
10000,1,30,1.2,0.304727302752134,0.108345263422743,10000
10000,1,40,1.2,0.257431468180682,0.0790373490473673,10000
10000,1,50,1.2,0.226951564735573,0.0623264906414105,10000
10000,1,60,1.2,0.205368727149072,0.0523043777351039,10000
10000,1,70,1.2,0.189320870632911,0.0474628509468565,10000
10000,1,80,1.2,0.176294961882496,0.0423410168914335,10000
10000,1,90,1.2,0.165120010569393,0.0348758102582551,10000
10000,1,100,1.2,0.156267194131947,0.0321788281639546,10000
10000,1,10,1.4,0.797541737022468,0.5194850450212,10000
10000,1,20,1.4,0.469161456917648,0.217904954913838,10000
10000,1,30,1.4,0.362495552276848,0.137498704619106,10000
10000,1,40,1.4,0.305857270536635,0.101056638884196,10000
10000,1,50,1.4,0.269110475840964,0.0785679932044796,10000
10000,1,60,1.4,0.242847347505328,0.062967442919349,10000
10000,1,70,1.4,0.223225885069372,0.0533561071475537,10000
10000,1,80,1.4,0.208041604841567,0.048468367335367,10000
10000,1,90,1.4,0.195357259195163,0.0431490526891242,10000
10000,1,100,1.4,0.184422432240056,0.0366322217149054,10000
